__________________________________________________
Iteration   Train.Loss (MSE)     Time (in sec)    
   731           0.304               0.141        
   732           0.386               0.125        
   733           0.342               0.125        
   734           0.244               0.141        
   735           0.215               0.125        
   736           0.253               0.141        
   737           0.171               0.141        
   738           0.586               0.125        
   739           0.379               0.141        
   740           0.269               0.125        
   741           0.209               0.125        
   742           0.302               0.141        
   743           0.302               0.125        
   744           0.165               0.141        
   745           0.449               0.141        
   746           0.292               0.125        
   747           0.248               0.141        
   748           0.222               0.125        
   749           0.252               0.125        
   750           0.320               0.141        
   751           0.176               0.125        
   752           0.175               0.141        
   753           0.588               0.141        
   754           0.231               0.125        
   755           0.136               0.141        
   756           0.255               0.125        
   757           0.361               0.125        
   758           0.347               0.141        
   759           0.200               0.125        
   760           0.275               0.141        
   761           0.331               0.141        
   762           0.226               0.125        
   763           0.261               0.141        
   764           0.351               0.141        
   765           0.245               0.125        
   766           0.207               0.141        
   767           0.196               0.125        
   768           0.209               0.141        
   769           0.295               0.141        
   770           0.392               0.125        
   771           0.211               0.141        
   772           0.280               0.125        
   773           0.267               0.125        
   774           0.230               0.141        
   775           0.239               0.125        
   776           0.274               0.141        
   777           0.205               0.141        
   778           0.185               0.125        
   779           0.219               0.141        
   780           0.221               0.125        
   781           0.325               0.125        
   782           0.236               0.141        
   783           0.281               0.125        
   784           0.233               0.141        
   785           0.617               0.141        
   786           0.229               0.125        
   787           0.292               0.141        
   788           0.360               0.125        
   789           0.226               0.125        
   790           0.487               0.141        
   791           0.239               0.125        
   792           0.309               0.141        
   793           0.246               0.141        
   794           0.326               0.125        
   795           0.310               0.141        
   796           0.327               0.125        
   797           0.265               0.125        
   798           0.276               0.141        
   799           0.300               0.125        
   800           0.343               0.141        
   801           0.266               0.141        
   802           0.213               0.125        
   803           0.238               0.141        
   804           0.421               0.125        
   805           0.312               0.125        
   806           0.350               0.141        
   807           0.286               0.125        
   808           0.288               0.141        
   809           0.152               0.141        
   810           0.185               0.125        
   811           0.373               0.141        
   812           0.315               0.125        
   813           0.354               0.125        
   814           0.275               0.141        
   815           0.333               0.125        
   816           0.261               0.141        
   817           0.378               0.141        
   818           0.340               0.125        
   819           0.264               0.141        
   820           0.319               0.141        
   821           0.308               0.125        
   822           0.253               0.141        
   823           0.340               0.125        
   824           0.203               0.141        
   825           0.289               0.141        
   826           0.237               0.125        
   827           0.296               0.141        
   828           0.196               0.141        
   829           0.198               0.125        
   830           0.227               0.141        
   831           0.180               0.125        
   832           0.200               0.141        
   833           0.240               0.141        
   834           0.290               0.125        
   835           0.166               0.141        
   836           0.601               0.141        
   837           0.228               0.125        
   838           0.175               0.141        
   839           0.304               0.125        
   840           0.250               0.125        
   841           0.183               0.141        
   842           0.474               0.125        
   843           0.363               0.141        
   844           0.173               0.141        
   845           0.256               0.125        
   846           0.278               0.141        
   847           0.273               0.125        
   848           0.162               0.141        
   849           0.619               0.141        
   850           0.305               0.125        
   851           0.437               0.141        
   852           0.176               0.141        
   853           0.342               0.125        
   854           0.314               0.141        
   855           0.433               0.125        
   856           0.297               0.141        
   857           0.391               0.141        
   858           0.520               0.125        
   859           0.330               0.141        
   860           0.186               0.141        
   861           0.271               0.125        
   862           0.347               0.141        
   863           0.244               0.125        
   864           0.320               0.141        
   865           0.333               0.141        
   866           0.270               0.125        
